gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
TSHZ1,9.090172935,9.008938,9.276206081,9.589637848,9.756153429,10.90737027,11.19450783,11.11378267,9.936726321,9.802514713,9.608943632,9.520083257,9.452834493,9.994891518,9.675442514,9.755471298,9.580234865,9.974197419,9.591700677,9.765819035,9.603229466,9.919159419,9.312160915
ZADH2,8.869226327,8.645836067,8.829932474,8.694684837,8.86116611,10.75384299,11.04456209,10.996022,9.199737744,8.915277827,8.756937342,8.685966886,8.757507088,9.085393804,8.849322503,9.048782337,9.092541091,9.797073919,8.764320947,9.214359256,8.961560886,9.015209554,8.647367902
CCDC43,10.14795981,10.17938756,10.13770789,10.03188943,9.848979766,9.022848905,8.91307391,8.937877102,9.892312138,9.646723455,10.10726206,10.05333075,10.07623539,9.861941031,9.793223407,9.952350462,9.744851147,9.852818705,9.993039338,9.986642729,9.892483404,9.951794276,10.14205443
MEIOC,6.20388932,6.018828217,6.116137636,5.961653105,5.971302908,5.724875962,5.793945764,5.863855097,5.998671522,5.901040201,6.071651392,6.109658025,5.917450825,6.205324727,5.646383139,6.212941722,6.255503435,6.142164775,5.888842827,6.04546463,6.278809872,6.151474138,5.829642565
ARHGAP45,12.29242774,12.49298877,12.42200753,12.54510812,12.70025338,14.24620098,14.33450053,14.30157689,12.68295543,12.86991524,12.73194616,12.52524132,12.59627121,12.7242126,12.77869379,12.58226907,12.80140903,12.80117538,12.68174301,12.55087986,12.65728908,12.61858399,12.51028062
ZNF443,6.022802401,6.238117713,6.339537002,6.112629421,6.084230884,7.456453154,7.143463479,7.510234509,6.430029915,6.196817628,6.218351603,6.195882886,6.264498948,6.463965742,6.320079562,6.759369432,6.472949513,6.461912475,6.127825021,6.728547893,6.119986798,6.128819513,6.438075456
KCTD2,10.47060193,10.68255052,10.56470705,10.76481642,10.75281999,10.99674775,10.81524525,10.86938345,10.70780332,10.67626171,10.61579417,10.52160255,10.6281692,10.70767888,10.70652712,10.7109392,10.61326618,10.47070285,10.6719418,10.53662823,10.64326151,10.72024268,10.58189715
TRAPPC5,5.675442956,5.92473633,5.963351646,6.054120782,6.000374325,6.12156443,6.247563106,6.283200501,5.998671522,6.072777848,5.748481433,5.857896382,5.792808749,6.205324727,6.203340547,6.167960618,5.834594981,6.302474025,5.840794358,5.830531544,5.876724497,6.259699924,6.018541057
METTL23,8.999941063,8.909269374,9.172553099,9.011508875,9.088008643,9.930151138,9.805706075,10.16100996,9.10777152,8.937676838,9.11165697,9.106816959,9.194080859,9.093069205,9.162424609,9.147666526,9.06304646,8.88775688,9.057596132,9.143247473,8.96545948,9.161897095,9.367512603
SLC26A11,8.763501495,9.283699576,8.891224602,10.06374986,9.934310918,11.62602464,11.74442846,11.28614947,9.587964996,9.980269793,10.00231379,9.851612752,9.842427724,9.692089333,10.05480176,9.622171039,10.02277582,12.06216704,9.96809428,9.786501969,9.801632219,9.655524604,9.54124977
OGFOD3,9.619787512,9.718881327,9.787499576,9.652612366,9.824804191,9.370151824,9.179106604,9.292093204,9.632149453,9.802514713,9.782606525,9.649483587,9.510517142,9.725394343,9.703653963,9.640809433,9.80844389,9.794079458,9.783425863,9.633003641,9.620639852,9.767922855,9.625403
AATK,5.770431779,6.206475193,6.041766178,6.222976176,5.81645084,6.954504189,6.621058099,6.357846578,5.960939416,5.706062579,6.39842747,5.959990941,6.251024817,5.842184105,5.965977503,5.919256825,5.967883717,8.212339317,5.816156431,5.994658044,6.253524034,6.009881869,6.083454188
ACBD4,7.162697766,7.551980864,7.571271964,7.86314413,7.702714319,9.998632196,9.741349382,9.667128236,7.467694345,7.740553488,7.741065496,7.674544208,7.605839841,7.666897689,7.831038682,7.589391158,7.608514634,8.000062741,8.023173278,7.539476865,7.646772738,7.648663071,7.493386299
SGSH,8.525519038,8.962334388,8.653874275,9.388256538,9.469544159,11.59838368,11.54678093,11.27656072,9.308897167,9.444158257,9.35510381,9.306073736,9.197597187,9.303972946,9.385119217,9.130184398,9.385477936,11.73021423,9.430607013,9.266152927,9.165117172,9.300115217,8.809645429
MEX3D,8.528919451,8.772794532,8.598739179,9.352286261,9.208133424,8.701322043,8.119173119,8.735782673,9.025623119,9.10732976,9.439795617,9.063895345,9.252723197,9.030491276,9.299551803,9.088549582,9.025309447,8.879304822,9.294534065,8.923183528,9.095669222,9.00902013,9.307639659
MRPS23,11.13531587,11.10990024,11.09566224,10.95770084,11.09276052,9.295257045,8.752552785,9.460345333,11.23750261,11.18647886,11.06077125,11.01341201,11.3305697,11.26816166,11.11314247,11.3043214,11.07142861,10.5285994,10.97154701,11.06353705,11.08704721,11.22564253,11.8035225
